timestamp,example,battery,pressure
01:00:00,498.6992,392.3067,760.5618
01:00:01,501.0279,401.3976,759.302
01:00:02,510.7352,405.5607,759.3862
01:00:03,508.3083,403.1179,759.2158
01:00:04,495.9503,402.7327,759.365
01:00:05,509.1048,99.28081,759.1911
01:00:06,502.1762,100.543,759.2253
01:00:07,499.8108,100.7327,759.5473
01:00:08,502.1442,100.2892,759.0318
01:00:09,499.3851,97.50859,759.0631
01:00:10,499.6276,98.94324,759.1397
01:00:11,504.4691,99.47567,759.1044
01:00:12,504.2271,98.55804,759.3944
01:00:13,504.2516,102.5105,759.4879
01:00:14,502.0145,107.615,758.8606
01:00:15,496.3775,96.03,758.9021
01:00:16,502.1517,100.385,759.1079
01:00:17,504.8907,95.67286,758.9007
01:00:18,501.4667,103.9075,759.348
01:00:19,503.1041,104.2297,759.2486
01:00:20,502.1807,95.01237,759.0047
01:00:21,499.0897,105.8311,758.9766
01:00:22,500.8816,96.7459,758.7666
01:00:23,497.6382,100.6805,758.9569
01:00:24,502.6652,103.2968,758.999
01:00:25,496.5588,400.4416,758.7706
01:00:26,496.7934,406.887,759.0962
01:00:27,497.5715,408.2577,758.8125
01:00:28,491.1671,400.415,758.6236
01:00:29,504.3151,394.2788,758.6865
01:00:30,500.9756,398.905,758.7978
01:00:31,497.7352,397.4557,758.4644
01:00:32,504.1109,397.7057,758.492
01:00:33,494.8655,396.6169,758.9483
01:00:34,499.6933,400.2346,758.3429
01:00:35,499.2757,406.3199,758.5905
01:00:36,500.9576,397.8525,758.5278
01:00:37,500.9386,399.1585,758.6444
01:00:38,497.4054,403.4994,758.3937
01:00:39,499.9098,403.6385,757.7569
01:00:40,499.5054,401.4566,758.0403
01:00:41,501.8831,403.078,758.2735
01:00:42,503.2798,402.6122,758.1826
01:00:43,503.3278,398.8547,758.483
01:00:44,497.409,401.2867,758.3306
01:00:45,500.2321,399.1026,758.1071
01:00:46,496.3576,397.3004,757.9823
01:00:47,496.6595,401.9042,757.6134
01:00:48,499.9795,400.2024,758.2528
01:00:49,504.5979,399.4386,757.8635
01:00:50,497.691,400.8752,757.4835
01:00:51,501.1141,402.9631,757.835
01:00:52,499.3232,401.1788,757.7242
01:00:53,503.3521,400.5837,757.5443
01:00:54,496.7328,400.8394,757.7113
01:00:55,500.0977,400.1537,757.4252
01:00:56,501.6576,397.6766,757.2506
01:00:57,503.3018,402.3603,757.1226
