Anomaly ID,Date,Start Time,Anomaly description,2-butanone (Trace Contaminants),Acetaldehyde (Trace Contaminants),Aux Cabin Fan #1 (L1),Aux Cabin Fan #2 (L1),bank1 Amps (Subfloor),bank2 Amps (Subfloor),bank3 Amps (Subfloor),bank4 Amps (Subfloor),Cabin Temperature (L1),Cabin Temperature (L2),Crew Quarters Humidity (Crew),Crew Quarters Radiation (Crew),Dichloromethane (Trace Contaminants),DMCPS (Trace Contaminants),Ethanol (Trace Contaminants),Ethyl Acetate (Trace Contaminants),Fuel Cell #1 Current (Subfloor),Fuel Cell #1 PQM (Subfloor),Fuel Cell #1 Stack Outlet Temp (Subfloor),Fuel Cell #2 Current (Subfloor),Fuel Cell #2 PQM (Subfloor),Fuel Cell #2 Stack Outlet Temp (Subfloor),H2O (Crew),H2O pH,HMCTS (Trace Contaminants),Humidity (L1),Humidity (L2),Main Cabin Fan #1 (L1),Main Cabin Fan #2 (L1),m-p Xylenes (Trace Contaminants),n_Butanol (Trace Contaminants),OMCTS (Trace Contaminants),o-Xylene (Trace Contaminants),ppCO2 (L1),ppCO2 (L2),ppH2 (L1),ppH2 (L2),ppH2O (L1),ppH2O (L2),ppN2 (L1),ppN2 (L2),ppO2 (L1),ppO2 (L2),Pressure (L1),Pressure (L2),Radiation (L1),Radiation (L2),Toluene (Trace Contaminants),Total Cabin Pressure (L1),Total Cabin Pressure (L2),Trimethylsilanol (Trace Contaminants),WRS Valve Flow (L2),Signature,Final Root Cause,Potential Risks,Actions Taken,End Date,End Time,Affected Susbystems
1,8/24/2004,4:20:38 PM,Main cabin fan #1 sensor is reading ~0 rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin fan deactivated,Not enough oxygen to circulate cabin;Can be fatal to the crew,Follow procedure 3.101,8/24/2004,4:50:18 PM,Auxiliary Fans - can be used for contigency purposes
2,10/7/2018,7:48:26 PM,Main cabin fan #1 sensor is reading ~0 rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Faulty sensor,Not enough oxygen to circulate cabin;Can be fatal to the crew,Replace the faulty sensor with a new one;Follow procedure 3.101,10/7/2018,8:19:49 PM,Auxiliary Fans - can be used for contigency purposes
3,8/10/2009,7:51:19 AM,Main cabin fan #1 sensor is reading ~0 rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin Fan blocked,Not enough oxygen to circulate cabin;Can be fatal to the crew,Turn off the fan;Remove the blockage;Follow procedure 3.101,8/10/2009,8:12:29 AM,Auxiliary Fans - can be used for contigency purposes
4,3/10/2015,6:17:25 AM,Main cabin fan #1 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0100,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Caution Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main cabin fan set to run at lower than 50% capacity,Stagnant air pockets in cabin;Can be fatal the the crew,Turn off the fan;Inspect Fan for damages to blade or objects blocking/impacting it - remove or replace damaged portions as applicable;Follow procedure 3.101,3/10/2015,7:21:04 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
5,10/19/2005,5:11:20 AM,Main cabin fan #1 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0100,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Caution Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin Fan blocked,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Turn off the fan;Remove the blockage;Follow procedure 3.101,10/19/2005,5:22:34 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
6,10/4/2016,8:00:40 PM,Main cabin fan #1 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0100,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Caution Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Main Cabin Fan damaged,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Follow 3.118;Shut down power of the main cabin fans;Replace Main cabin fan with a new one;Follow 3.101;Follow 3.119,10/4/2016,9:12:40 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
7,6/4/2003,5:39:50 AM,Main cabin fan #1 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Caution Limit;Cabin Temperature (L2) Exceeds Upper Caution Limit,Faulty sensor,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Replace the faulty sensor with a new one;Follow procedure 3.101,6/4/2003,6:27:22 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
8,1/19/2018,3:46:13 PM,Main cabin fan #1 sensor is reading below nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0001,0001,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0010,1000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Lower Warning Limit;Humidity (L1) Exceeds Upper Caution Limit;Humidity (L2) Exceeds Upper Caution Limit;Crew Quarters Humidity (Crew) Exceeds Upper Caution Limit;Cabin Temperature (L1) Exceeds Upper Warning Limit;Cabin Temperature (L2) Exceeds Upper Warning Limit,Fan systems overheat,Stagnant air pockets in cabin;Can be fatal the the crew;General health hazards to crew for insufficient clean/new air flowing,Follow 3.118;Shut down power of the main cabin fans;Wait for 10 minutes;Follow 3.101;Follow 3.119,1/19/2018,4:17:11 PM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
9,7/21/2014,11:06:09 PM,Main cabin fan #1 sensor is reading above nominal rpm,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0010,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Caution Limit,Power surge,Fire;Equipment damage,Follow 3.118;Shut down power of the main cabin fans;Wait for 10 minutes;Follow 3.101;Follow 3.119;observe,7/21/2014,12:19:00 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
10,11/11/2018,12:06:46 AM,Main cabin fan #1 sensor is reading above nominal levels,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0001,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,0000,Main Cabin Fan #1 (L1) Exceeds Upper Warning Limit,Power surge,Stagnant air pockets can form in cabin,Inspect Fan for damages to blade or objects blocking/impacting it - remove or replace damaged portions as applicable,11/11/2018,1:10:51 AM,FDA (TCCS);Zeolite Filters;ECLSS ducts;CDRA;Air Flow Sensor;Auxiliary Fans - can be used for contigency purposes (CDRA)
